id_cadeia;nucleo;qtd_municipios;qtd_sedes;tem_sede;utp_dominante;coesao_utp_perc;utps_envolvidas;diagnostico_geral
NUCLEO_160;Jaboatão dos Guararapes, Recife;11;1;Sim;278;100.0;278;Cadeia Coesa (100% interna)
NUCLEO_161;Macaparana, São Vicente Férrer;5;0;Não;162;100.0;162;Cadeia Coesa (100% interna)
NUCLEO_162;Pedra, Venturosa;2;0;Não;59;100.0;59;Cadeia Coesa (100% interna)
NUCLEO_163;Pesqueira, Poção;2;1;Sim;635;100.0;635;Cadeia Coesa (100% interna)
NUCLEO_164;Petrolina, Juazeiro;8;1;Sim;253;100.0;253;Cadeia Coesa (100% interna)
NUCLEO_165;Pombos, Vitória de Santo Antão;3;0;Não;78;100.0;78;Cadeia Coesa (100% interna)
NUCLEO_166;Salgueiro, Serrita;10;1;Sim;675;100.0;675;Cadeia Coesa (100% interna)
NUCLEO_167;São José da Coroa Grande, Maragogi;4;1;Sim;209;100.0;209;Cadeia Coesa (100% interna)
NUCLEO_168;Serra Talhada, Triunfo;12;1;Sim;321;100.0;321;Cadeia Coesa (100% interna)
NUCLEO_169;Surubim, Vertente do Lério;7;0;Não;78;85.7;65, 78;Cadeia Mista (Dominante: UTP 78)
NUCLEO_17;Almeirim, Prainha;2;0;Não;375;50.0;375, 592;Cadeia Crítica (Núcleo Cross-UTP: 375, 592)
NUCLEO_170;Arapiraca, Taquarana;14;1;Sim;22;92.9;22, NOVA19;Cadeia Mista (Dominante: UTP 22)
NUCLEO_171;Carneiros, São José da Tapera;2;0;Não;690;100.0;690;Cadeia Coesa (100% interna)
NUCLEO_172;Delmiro Gouveia, Pariconha;3;1;Sim;NOVA18;100.0;NOVA18;Cadeia Coesa (100% interna)
NUCLEO_173;Estrela de Alagoas, Palmeira dos Índios;3;1;Sim;NOVA19;100.0;NOVA19;Cadeia Coesa (100% interna)
NUCLEO_174;Inhapi, Mata Grande;3;0;Não;NOVA18;100.0;NOVA18;Cadeia Coesa (100% interna)
NUCLEO_175;Maceió, Rio Largo;11;1;Sim;203;100.0;203;Cadeia Coesa (100% interna)
NUCLEO_176;Maravilha, Ouro Branco;2;0;Não;690;50.0;531, 690;Cadeia Crítica (Núcleo Cross-UTP: 690, 531)
NUCLEO_177;Olho d'Água do Casado, Piranhas;2;0;Não;NOVA18;100.0;NOVA18;Cadeia Coesa (100% interna)
NUCLEO_178;Palestina, Pão de Açúcar;4;1;Sim;NOVA22;75.0;690, NOVA22;Cadeia Mista (Dominante: UTP NOVA22)
NUCLEO_179;Passo de Camaragibe, São Luís do Quitunde;4;0;Não;209;75.0;209, NOVA2;Cadeia Mista (Dominante: UTP 209)
NUCLEO_18;Altamira, Brasil Novo;5;2;Sim;375;80.0;375, 747;Cadeia Mista (Dominante: UTP 375)
NUCLEO_180;Penedo, Neópolis;4;1;Sim;NOVA17;100.0;NOVA17;Cadeia Coesa (100% interna)
NUCLEO_181;Poço das Trincheiras, Santana do Ipanema;8;1;Sim;690;100.0;690;Cadeia Coesa (100% interna)
NUCLEO_182;Aracaju, Nossa Senhora do Socorro;4;1;Sim;19;100.0;19;Cadeia Coesa (100% interna)
NUCLEO_183;Brejo Grande, Pacatuba;5;0;Não;NOVA17;100.0;NOVA17;Cadeia Coesa (100% interna)
NUCLEO_184;Canindé de São Francisco, Poço Redondo;4;0;Não;246;50.0;246, 276;Cadeia Crítica (Núcleo Cross-UTP: 246, 276)
NUCLEO_185;Itabaiana, Macambira;9;0;Não;276;66.7;276, 367;Cadeia Crítica (Núcleo Cross-UTP: 276, 367)
NUCLEO_186;Itabaianinha, Umbaúba;10;0;Não;367;60.0;367, 469;Cadeia Crítica (Núcleo Cross-UTP: 469, 367)
NUCLEO_187;Lagarto, Salgado;5;1;Sim;367;100.0;367;Cadeia Coesa (100% interna)
NUCLEO_188;Malhada dos Bois, São Francisco;2;0;Não;NOVA17;100.0;NOVA17;Cadeia Coesa (100% interna)
NUCLEO_189;Simão Dias, Paripiranga;5;0;Não;367;100.0;367;Cadeia Coesa (100% interna)
NUCLEO_19;Ananindeua, Belém;6;1;Sim;41;100.0;41;Cadeia Coesa (100% interna)
NUCLEO_190;Tobias Barreto, Itapicuru;3;1;Sim;469;66.7;469, 739;Cadeia Mista (Dominante: UTP 469)
NUCLEO_191;Acajutiba, Aporá;4;0;Não;7;100.0;7;Cadeia Coesa (100% interna)
NUCLEO_192;Alcobaça, Teixeira de Freitas;12;1;Sim;334;91.7;334, 370;Cadeia Mista (Dominante: UTP 334)
NUCLEO_193;Antas, Sítio do Quinto;4;0;Não;739;75.0;246, 739;Cadeia Mista (Dominante: UTP 739)
NUCLEO_194;Baixa Grande, Macajuba;2;1;Sim;603;100.0;603;Cadeia Coesa (100% interna)
NUCLEO_195;Barra, Xique-Xique;2;1;Sim;764;100.0;764;Cadeia Coesa (100% interna)
NUCLEO_196;Barra do Choça, Vitória da Conquista;24;2;Sim;362;79.2;362, 373, 542, 545, 581;Cadeia Mista (Dominante: UTP 362)
NUCLEO_197;Barreiras, Luís Eduardo Magalhães;16;2;Sim;38;62.5;38, 727;Cadeia Mista (Dominante: UTP 38)
NUCLEO_198;Bom Jesus da Lapa, Serra do Ramalho;2;1;Sim;296;100.0;296;Cadeia Coesa (100% interna)
NUCLEO_199;Boquira, Macaúbas;4;1;Sim;415;100.0;415;Cadeia Coesa (100% interna)
NUCLEO_2;Jaru, Governador Jorge Teixeira;8;1;Sim;395;87.5;182, 395;Cadeia Crítica (Núcleo Cross-UTP: 182, 395)
NUCLEO_20;Aurora do Pará, Mãe do Rio;5;1;Sim;737;60.0;626, 737, 80;Cadeia Crítica (Núcleo Cross-UTP: 626, 80)
NUCLEO_200;Brejões, Nova Itarana;3;1;Sim;54;100.0;54;Cadeia Coesa (100% interna)
NUCLEO_201;Brotas de Macaúbas, Ipupiara;2;0;Não;415;100.0;415;Cadeia Coesa (100% interna)
NUCLEO_202;Buritirama, Mansidão;2;1;Sim;424;100.0;424;Cadeia Coesa (100% interna)
NUCLEO_203;Cairu, Valença;7;1;Sim;350;85.7;350, 93;Cadeia Mista (Dominante: UTP 350)
NUCLEO_204;Caldeirão Grande, Saúde;3;0;Não;548;66.7;548, 708;Cadeia Crítica (Núcleo Cross-UTP: 708, 548)
NUCLEO_205;Canápolis, Santana;2;0;Não;296;100.0;296;Cadeia Coesa (100% interna)
NUCLEO_206;Capim Grosso, São José do Jacuípe;5;1;Sim;708;80.0;603, 708;Cadeia Mista (Dominante: UTP 708)
NUCLEO_207;Central, Uibaí;3;0;Não;538;66.7;538, 764;Cadeia Mista (Dominante: UTP 538)
NUCLEO_208;Conceição do Coité, Serrinha;8;1;Sim;752;75.0;506, 739, 752;Cadeia Mista (Dominante: UTP 752)
NUCLEO_209;Correntina, Santa Maria da Vitória;5;0;Não;296;80.0;296, 471;Cadeia Mista (Dominante: UTP 296)
NUCLEO_21;Belterra, Santarém;3;1;Sim;298;100.0;298;Cadeia Coesa (100% interna)
NUCLEO_210;Entre Rios, Esplanada;3;0;Não;7;100.0;7;Cadeia Coesa (100% interna)
NUCLEO_211;Euclides da Cunha, Monte Santo;4;1;Sim;506;100.0;506;Cadeia Coesa (100% interna)
NUCLEO_212;Eunápolis, Itabela;7;1;Sim;106;85.7;106, 542;Cadeia Mista (Dominante: UTP 106)
NUCLEO_213;Fátima, Heliópolis;3;0;Não;739;100.0;739;Cadeia Coesa (100% interna)
NUCLEO_214;Glória, Paulo Afonso;5;1;Sim;246;100.0;246;Cadeia Coesa (100% interna)
NUCLEO_215;Guanambi, Palmas de Monte Alto;19;2;Sim;520;68.4;455, 520, 627, 667;Cadeia Mista (Dominante: UTP 520)
NUCLEO_216;Iaçu, Itaberaba;5;1;Sim;539;100.0;539;Cadeia Coesa (100% interna)
NUCLEO_217;Ibicoara, Ituaçu;2;0;Não;545;50.0;545, 667;Cadeia Crítica (Núcleo Cross-UTP: 545, 667)
NUCLEO_218;Ibotirama, Muquém do São Francisco;3;1;Sim;533;100.0;533;Cadeia Coesa (100% interna)
NUCLEO_219;Igaporã, Riacho de Santana;2;0;Não;520;50.0;296, 520;Cadeia Crítica (Núcleo Cross-UTP: 520, 296)
NUCLEO_22;Bragança, Viseu;4;2;Sim;52;75.0;52, 761;Cadeia Crítica (Núcleo Cross-UTP: 52, 761)
NUCLEO_220;Igrapiúna, Ituberá;3;0;Não;350;100.0;350;Cadeia Coesa (100% interna)
NUCLEO_221;Ilhéus, Itabuna;25;1;Sim;126;100.0;126;Cadeia Coesa (100% interna)
NUCLEO_222;Irecê, Lapão;16;1;Sim;538;81.2;538, 599, 726;Cadeia Mista (Dominante: UTP 538)
NUCLEO_223;Itaeté, Mucugê;2;0;Não;602;100.0;602;Cadeia Coesa (100% interna)
