cd_mun;nm_mun;sede_utp;rm_origem;utp_origem;hierarquia;id_cadeia;status_cadeia;cd_destino_principal;nm_destino_principal;rm_destino_principal;utp_destino_principal;tempo_viagem_h;sugestao_analise
2709202;Traipu;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.783999248;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2800407;Arauá;False;N/A;367;secundaria;NUCLEO_186;Mista;2807600;Umbaúba;N/A;367;0.312591841;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2800605;Barra dos Coqueiros;False;Recorte Metropolitano de Aracaju;19;secundaria;NUCLEO_182;Interna;2800308;Aracaju;Recorte Metropolitano de Aracaju;19;0.333000004;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2801009;Campo do Brito;False;N/A;367;secundaria;NUCLEO_185;Mista;2802908;Itabaiana;N/A;276;0.179790623;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2802304;Frei Paulo;False;N/A;367;secundaria;NUCLEO_185;Mista;2802908;Itabaiana;N/A;276;0.348301958;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2803203;Itaporanga d'Ajuda;False;N/A;367;secundaria;NUCLEO_187;Interna;2803500;Lagarto;N/A;367;0.69867833;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2803401;Japoatã;False;N/A;NOVA17;secundaria;NUCLEO_183;Interna;2804904;Pacatuba;N/A;NOVA17;0.352065961;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2803906;Malhador;False;N/A;276;secundaria;NUCLEO_185;Mista;2802908;Itabaiana;N/A;276;0.641849031;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2804102;Moita Bonita;False;N/A;276;secundaria;NUCLEO_185;Mista;2802908;Itabaiana;N/A;276;0.244730176;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2805000;Pedra Mole;False;N/A;367;secundaria;NUCLEO_189;Interna;2923803;Paripiranga;N/A;367;0.683154823;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2805109;Pedrinhas;False;N/A;469;secundaria;NUCLEO_186;Mista;2803005;Itabaianinha;N/A;469;0.49961403;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2805505;Poço Verde;False;N/A;367;secundaria;NUCLEO_189;Interna;2807105;Simão Dias;N/A;367;0.712447351;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2805802;Riachão do Dantas;False;N/A;367;secundaria;NUCLEO_187;Interna;2803500;Lagarto;N/A;367;0.295619396;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2806008;Ribeirópolis;False;N/A;276;secundaria;NUCLEO_185;Mista;2802908;Itabaiana;N/A;276;0.356202648;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2806305;Santa Luzia do Itanhy;False;N/A;367;secundaria;NUCLEO_186;Mista;2807600;Umbaúba;N/A;367;0.583774711;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2806404;Santana do São Francisco;False;N/A;NOVA17;secundaria;NUCLEO_180;Interna;2706703;Penedo;N/A;NOVA17;0.375760008;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2806701;São Cristóvão;False;Recorte Metropolitano de Aracaju;19;secundaria;NUCLEO_182;Interna;2800308;Aracaju;Recorte Metropolitano de Aracaju;19;0.528296554;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2806800;São Domingos;False;N/A;367;secundaria;NUCLEO_187;Interna;2803500;Lagarto;N/A;367;0.377925596;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2807501;Tomar do Geru;False;N/A;469;secundaria;NUCLEO_186;Mista;2807600;Umbaúba;N/A;367;0.552590268;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2900108;Abaíra;False;N/A;627;secundaria;NUCLEO_227;Mista;2919504;Livramento de Nossa Senhora;N/A;627;1.916660392;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2900355;Adustina;False;N/A;739;secundaria;NUCLEO_213;Interna;2910750;Fátima;N/A;739;0.566403387;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2900504;Érico Cardoso;False;N/A;627;secundaria;NUCLEO_227;Mista;2923605;Paramirim;N/A;627;0.248025374;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2900900;Almadina;False;N/A;126;secundaria;NUCLEO_221;Interna;2913606;Ilhéus;N/A;126;1.567376307;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2901007;Amargosa;False;N/A;93;secundaria;NUCLEO_236;Interna;2933174;Varzedo;N/A;93;0.558885392;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2901205;Anagé;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;0.810754633;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2901403;Angical;False;N/A;38;secundaria;NUCLEO_197;Mista;2903201;Barreiras;N/A;38;0.662022338;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2901809;Antônio Gonçalves;False;N/A;548;secundaria;NUCLEO_204;Mista;2929800;Saúde;N/A;548;0.70426571;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2902005;Aracatu;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;1.593733582;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2902104;Araci;False;N/A;506;secundaria;NUCLEO_208;Mista;2930501;Serrinha;N/A;752;0.615537245;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2902252;Arataca;False;N/A;126;secundaria;NUCLEO_221;Interna;2913606;Ilhéus;N/A;126;1.585556134;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2902302;Aratuípe;False;N/A;93;secundaria;NUCLEO_203;Mista;2905404;Cairu;N/A;350;1.353204045;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2902500;Baianópolis;False;N/A;38;secundaria;NUCLEO_197;Mista;2903201;Barreiras;N/A;38;0.977433928;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2903003;Barra do Mendes;False;N/A;538;secundaria;NUCLEO_222;Mista;2914604;Irecê;N/A;538;0.970261089;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2903235;Barro Alto;False;N/A;538;secundaria;NUCLEO_222;Mista;2914604;Irecê;N/A;538;0.969494636;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2903300;Barro Preto;False;N/A;126;secundaria;NUCLEO_221;Interna;2913606;Ilhéus;N/A;126;1.153129483;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2903409;Belmonte;False;N/A;106;secundaria;NUCLEO_212;Mista;2910727;Eunápolis;N/A;106;1.939886726;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2903508;Belo Campo;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;0.993828715;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2903805;Boa Vista do Tupim;False;N/A;539;secundaria;NUCLEO_216;Interna;2914703;Itaberaba;N/A;539;0.847967333;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2904407;Brejolândia;False;N/A;533;secundaria;NUCLEO_237;Mista;2930303;Serra Dourada;N/A;296;0.601380556;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2904605;Brumado;True;N/A;667;secundaria;NUCLEO_227;Mista;2919504;Livramento de Nossa Senhora;N/A;627;1.024329965;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2904704;Buerarema;False;N/A;126;secundaria;NUCLEO_221;Interna;2914802;Itabuna;N/A;126;0.356916058;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2904803;Caatiba;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;1.884015636;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2905008;Caculé;False;N/A;520;secundaria;NUCLEO_215;Mista;2911709;Guanambi;N/A;520;1.75701804;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2905206;Caetité;False;N/A;520;secundaria;NUCLEO_215;Mista;2911709;Guanambi;N/A;520;0.639161351;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2905602;Camacan;False;N/A;126;secundaria;NUCLEO_221;Interna;2914802;Itabuna;N/A;126;1.331672369;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2905701;Camaçari;False;Recorte Metropolitano de Salvador;291;secundaria;NUCLEO_226;Interna;2927408;Salvador;Recorte Metropolitano de Salvador;291;0.762699854;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2905800;Camamu;False;N/A;350;secundaria;NUCLEO_220;Interna;2913457;Igrapiúna;N/A;350;0.246679956;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2906204;Canarana;False;N/A;538;secundaria;NUCLEO_222;Mista;2914604;Irecê;N/A;538;0.681538432;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2906501;Candeias;False;Recorte Metropolitano de Salvador;291;secundaria;NUCLEO_226;Interna;2927408;Salvador;Recorte Metropolitano de Salvador;291;0.637891812;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2906709;Cândido Sales;False;N/A;362;secundaria;NUCLEO_196;Mista;2933307;Vitória da Conquista;N/A;362;1.314874486;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2906808;Cansanção;True;N/A;594;secundaria;NUCLEO_235;Mista;2925808;Queimadas;N/A;594;0.60670313;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
